Date,New Cases,Total Cases
"2020-12-04",5663,356662
"2020-12-03",4793,350999
"2020-12-02",4296,346206
"2020-12-01",4606,341910
"2020-11-30",3190,337304
"2020-11-29",3839,334114
"2020-11-28",3802,330275
"2020-11-27",4095,326473
"2020-11-26",4473,322378
"2020-11-25",4042,317905
"2020-11-24",4275,313863
"2020-11-23",3581,309588
"2020-11-22",3968,306007
"2020-11-21",4669,302039
"2020-11-20",3626,297370
"2020-11-19",4182,293744
"2020-11-18",4043,289562
"2020-11-17",4026,285519
"2020-11-16",2219,281493
"2020-11-15",4538,279274
"2020-11-14",4353,274736
"2020-11-13",3397,270383
"2020-11-12",3491,266986
"2020-11-11",3065,263495
"2020-11-10",3777,260430
"2020-11-09",2058,256653
"2020-11-08",2013,254595
"2020-11-07",3202,252582
"2020-11-06",2161,249380
"2020-11-05",1962,247219
"2020-11-04",2432,245257
"2020-11-03",1828,242825
"2020-11-02",1368,240997
"2020-11-01",1743,239629
"2020-10-31",1363,237886
"2020-10-30",1976,236523
"2020-10-29",1550,234547
"2020-10-28",1666,232997
"2020-10-27",1647,231331
"2020-10-26",1216,229684
"2020-10-25",1129,228468
"2020-10-24",1909,227339
"2020-10-23",1045,225430
"2020-10-22",1162,224385
"2020-10-21",1030,223223
"2020-10-20",988,222193
"2020-10-19",1192,221205
"2020-10-18",1275,220013
"2020-10-17",934,218738
"2020-10-16",810,217804
"2020-10-15",971,216994
"2020-10-14",938,216023
"2020-10-13",988,215085
"2020-10-12",469,214097
"2020-10-11",751,213628
"2020-10-10",864,212877
"2020-10-09",865,212013
"2020-10-08",1298,211148
"2020-10-07",508,209850
"2020-10-06",629,209342
"2020-10-05",511,208713
"2020-10-04",626,208202
"2020-10-03",947,207576
"2020-10-02",740,206629
"2020-10-01",614,205889
"2020-09-30",712,205275
"2020-09-29",456,204563
"2020-09-28",559,204107
"2020-09-27",698,203548
"2020-09-26",750,202850
"2020-09-25",548,202100
"2020-09-24",564,201552
"2020-09-23",408,200988
"2020-09-22",426,200580
"2020-09-21",392,200154
"2020-09-20",453,199762
"2020-09-19",461,199309
"2020-09-18",487,198848
"2020-09-17",569,198361
"2020-09-16",388,197792
"2020-09-15",436,197404
"2020-09-14",334,196968
"2020-09-13",297,196634
"2020-09-12",449,196337
"2020-09-11",474,195888
"2020-09-10",424,195414
"2020-09-09",323,194990
"2020-09-08",277,194667
"2020-09-07",332,194390
"2020-09-06",311,194058
"2020-09-05",325,193747
"2020-09-04",449,193422
"2020-09-03",378,192973
"2020-09-02",305,192595
"2020-09-01",330,192290
"2020-08-31",349,191960
"2020-08-30",291,191611
"2020-08-29",349,191320
"2020-08-28",358,190971
"2020-08-27",307,190613
"2020-08-26",285,190306
"2020-08-25",302,190021
"2020-08-24",225,189719
"2020-08-23",258,189494
"2020-08-22",419,189236
"2020-08-21",290,188817
"2020-08-20",100,188527
