Date,New Cases,Total Cases
"2020-12-15",189783,16529187
"2020-12-14",193384,16339404
"2020-12-13",187754,16146020
"2020-12-12",225196,15958266
"2020-12-11",234810,15733070
"2020-12-10",218510,15498260
"2020-12-09",213456,15279750
"2020-12-08",220887,15066294
"2020-12-07",180819,14845407
"2020-12-06",179619,14664588
"2020-12-05",215393,14484969
"2020-12-04",227975,14269576
"2020-12-03",213364,14041601
"2020-12-02",198665,13828237
"2020-12-01",179217,13629572
"2020-11-30",148475,13450355
"2020-11-29",136090,13301880
"2020-11-28",154915,13165790
"2020-11-27",194244,13010875
"2020-11-26",128439,12816631
"2020-11-25",186938,12688192
"2020-11-24",169264,12501254
"2020-11-23",151893,12331990
"2020-11-22",151896,12180097
"2020-11-21",181859,12028201
"2020-11-20",194810,11846342
"2020-11-19",184672,11651532
"2020-11-18",166167,11466860
"2020-11-17",158799,11300693
"2020-11-16",149528,11141894
"2020-11-15",145830,10992366
"2020-11-14",165821,10846536
"2020-11-13",174459,10680715
"2020-11-12",154175,10506256
"2020-11-11",146898,10352081
"2020-11-10",132974,10205183
"2020-11-09",117498,10072209
"2020-11-08",111499,9954711
"2020-11-07",130816,9843212
"2020-11-06",127492,9712396
"2020-11-05",118056,9584904
"2020-11-04",103553,9466848
"2020-11-03",89864,9363295
"2020-11-02",83095,9273431
"2020-11-01",141347,9190336
"2020-10-31",90613,9048989
"2020-10-30",97263,8958376
"2020-10-29",88728,8861113
"2020-10-28",78793,8772385
"2020-10-27",72097,8693592
"2020-10-26",62535,8621495
"2020-10-25",64897,8558960
"2020-10-24",83319,8494063
"2020-10-23",82342,8410744
"2020-10-22",73003,8328402
"2020-10-21",60980,8255399
"2020-10-20",60569,8194419
"2020-10-19",57108,8133850
"2020-10-18",48280,8076742
"2020-10-17",57355,8028462
"2020-10-16",68265,7971107
"2020-10-15",63384,7902842
"2020-10-14",56237,7839458
"2020-10-13",48417,7783221
"2020-10-12",42645,7734804
"2020-10-11",46268,7692159
"2020-10-10",57424,7645891
"2020-10-09",56790,7588467
"2020-10-08",55204,7531677
"2020-10-07",50588,7476473
"2020-10-06",38917,7425885
"2020-10-05",37756,7386968
"2020-10-04",37982,7349212
"2020-10-03",50937,7311230
"2020-10-02",49253,7260293
"2020-10-01",45600,7211040
"2020-09-30",44346,7165440
"2020-09-29",36963,7121094
"2020-09-28",35362,7084131
"2020-09-27",34983,7048769
