Date,County,State,FIPS,Total Cases,Total Deaths
2020-03-04,Bergen,New Jersey,34003,1,0
2020-03-05,Bergen,New Jersey,34003,2,0
2020-03-06,Bergen,New Jersey,34003,3,0
2020-03-07,Bergen,New Jersey,34003,3,0
2020-03-08,Bergen,New Jersey,34003,4,0
2020-03-09,Bergen,New Jersey,34003,5,0
2020-03-10,Bergen,New Jersey,34003,7,1
2020-03-11,Bergen,New Jersey,34003,11,1
2020-03-12,Bergen,New Jersey,34003,13,1
2020-03-13,Bergen,New Jersey,34003,17,1
2020-03-14,Bergen,New Jersey,34003,31,1
2020-03-15,Bergen,New Jersey,34003,32,1
2020-03-16,Bergen,New Jersey,34003,61,2
2020-03-17,Bergen,New Jersey,34003,84,2
2020-03-18,Bergen,New Jersey,34003,133,4
2020-03-19,Bergen,New Jersey,34003,297,6
2020-03-20,Bergen,New Jersey,34003,342,7
2020-03-21,Bergen,New Jersey,34003,362,9
2020-03-22,Bergen,New Jersey,34003,457,10
2020-03-23,Bergen,New Jersey,34003,609,12
2020-03-24,Bergen,New Jersey,34003,701,14
2020-03-25,Bergen,New Jersey,34003,819,15
2020-03-26,Bergen,New Jersey,34003,1206,21
2020-03-27,Bergen,New Jersey,34003,1505,28
2020-03-28,Bergen,New Jersey,34003,1838,35
2020-03-29,Bergen,New Jersey,34003,2169,35
2020-03-30,Bergen,New Jersey,34003,2482,41
2020-03-31,Bergen,New Jersey,34003,2909,53
2020-04-01,Bergen,New Jersey,34003,3494,75
2020-04-02,Bergen,New Jersey,34003,4099,120
2020-04-03,Bergen,New Jersey,34003,4866,132
2020-04-04,Bergen,New Jersey,34003,5760,179
2020-04-05,Bergen,New Jersey,34003,6187,189
2020-04-06,Bergen,New Jersey,34003,6862,200
2020-04-07,Bergen,New Jersey,34003,7533,263
2020-04-08,Bergen,New Jersey,34003,7874,314
2020-04-09,Bergen,New Jersey,34003,8343,345
2020-04-10,Bergen,New Jersey,34003,8928,390
2020-04-11,Bergen,New Jersey,34003,9362,435
2020-04-12,Bergen,New Jersey,34003,9784,453
2020-04-13,Bergen,New Jersey,34003,10092,482
2020-04-14,Bergen,New Jersey,34003,10426,550
2020-04-15,Bergen,New Jersey,34003,10848,608
2020-04-16,Bergen,New Jersey,34003,11409,668
2020-04-17,Bergen,New Jersey,34003,11863,714
2020-04-18,Bergen,New Jersey,34003,12163,741
2020-04-19,Bergen,New Jersey,34003,12639,767
2020-04-20,Bergen,New Jersey,34003,13011,787
2020-04-21,Bergen,New Jersey,34003,13356,835
2020-04-22,Bergen,New Jersey,34003,13686,876
2020-04-23,Bergen,New Jersey,34003,14049,907
2020-04-24,Bergen,New Jersey,34003,14363,934
2020-04-25,Bergen,New Jersey,34003,14738,954
2020-04-26,Bergen,New Jersey,34003,14965,955
2020-04-27,Bergen,New Jersey,34003,15104,960
2020-04-28,Bergen,New Jersey,34003,15251,1002
2020-04-29,Bergen,New Jersey,34003,15446,1057
2020-04-30,Bergen,New Jersey,34003,15610,1136
2020-05-01,Bergen,New Jersey,34003,15830,1187
2020-05-02,Bergen,New Jersey,34003,15974,1202
2020-05-03,Bergen,New Jersey,34003,16185,1210
2020-05-04,Bergen,New Jersey,34003,16282,1215
2020-05-05,Bergen,New Jersey,34003,16460,1261
2020-05-06,Bergen,New Jersey,34003,16520,1289
2020-05-07,Bergen,New Jersey,34003,16609,1319
2020-05-08,Bergen,New Jersey,34003,16709,1329
2020-05-09,Bergen,New Jersey,34003,16804,1348
2020-05-10,Bergen,New Jersey,34003,16929,1355
2020-05-11,Bergen,New Jersey,34003,17028,1358
2020-05-12,Bergen,New Jersey,34003,17091,1388
2020-05-13,Bergen,New Jersey,34003,17150,1409
2020-05-14,Bergen,New Jersey,34003,17080,1423
2020-05-15,Bergen,New Jersey,34003,17195,1443
2020-05-16,Bergen,New Jersey,34003,17246,1450
2020-05-17,Bergen,New Jersey,34003,17361,1455
2020-05-18,Bergen,New Jersey,34003,17459,1460
2020-05-19,Bergen,New Jersey,34003,17522,1474
2020-05-20,Bergen,New Jersey,34003,17518,1500
2020-05-21,Bergen,New Jersey,34003,17583,1508
2020-05-22,Bergen,New Jersey,34003,17653,1515
2020-05-23,Bergen,New Jersey,34003,17668,1521
2020-05-24,Bergen,New Jersey,34003,17804,1525
2020-05-25,Bergen,New Jersey,34003,17901,1525
2020-05-26,Bergen,New Jersey,34003,17963,1528
2020-05-27,Bergen,New Jersey,34003,18023,1547
2020-05-28,Bergen,New Jersey,34003,18158,1553
2020-05-29,Bergen,New Jersey,34003,18223,1567
2020-05-30,Bergen,New Jersey,34003,18211,1573
2020-05-31,Bergen,New Jersey,34003,18272,1579
2020-06-01,Bergen,New Jersey,34003,18302,1580
2020-06-02,Bergen,New Jersey,34003,18333,1584
2020-06-03,Bergen,New Jersey,34003,18376,1595
2020-06-04,Bergen,New Jersey,34003,18408,1603
2020-06-05,Bergen,New Jersey,34003,18463,1611
2020-06-06,Bergen,New Jersey,34003,18492,1612
2020-06-07,Bergen,New Jersey,34003,18512,1618
2020-06-08,Bergen,New Jersey,34003,18538,1621
2020-06-09,Bergen,New Jersey,34003,18573,1628
2020-06-10,Bergen,New Jersey,34003,18667,1635
2020-06-11,Bergen,New Jersey,34003,18719,1646
2020-06-12,Bergen,New Jersey,34003,18743,1649
2020-06-13,Bergen,New Jersey,34003,18805,1664
2020-06-14,Bergen,New Jersey,34003,18818,1662
2020-06-15,Bergen,New Jersey,34003,18848,1664
2020-06-16,Bergen,New Jersey,34003,18901,1673
2020-06-17,Bergen,New Jersey,34003,18928,1681
2020-06-18,Bergen,New Jersey,34003,18949,1684
2020-06-19,Bergen,New Jersey,34003,18967,1691
2020-06-20,Bergen,New Jersey,34003,18996,1693
2020-06-21,Bergen,New Jersey,34003,19010,1696
2020-06-22,Bergen,New Jersey,34003,19037,1701
2020-06-23,Bergen,New Jersey,34003,19069,1706
2020-06-24,Bergen,New Jersey,34003,19097,1714
2020-06-25,Bergen,New Jersey,34003,19430,1979
2020-06-26,Bergen,New Jersey,34003,19527,1981
2020-06-27,Bergen,New Jersey,34003,19538,1983
2020-06-28,Bergen,New Jersey,34003,19617,1983
2020-06-29,Bergen,New Jersey,34003,19638,1985
2020-06-30,Bergen,New Jersey,34003,19686,1989
2020-07-01,Bergen,New Jersey,34003,19708,1996
2020-07-02,Bergen,New Jersey,34003,19735,1994
2020-07-03,Bergen,New Jersey,34003,19793,2000
2020-07-04,Bergen,New Jersey,34003,19823,2003
2020-07-05,Bergen,New Jersey,34003,19886,2004
2020-07-06,Bergen,New Jersey,34003,19916,2006
2020-07-07,Bergen,New Jersey,34003,19937,2009
2020-07-08,Bergen,New Jersey,34003,19993,2010
2020-07-09,Bergen,New Jersey,34003,20043,2020
2020-07-10,Bergen,New Jersey,34003,20099,2023
2020-07-11,Bergen,New Jersey,34003,20119,2028
2020-07-12,Bergen,New Jersey,34003,20143,2028
2020-07-13,Bergen,New Jersey,34003,20163,2030
2020-07-14,Bergen,New Jersey,34003,20179,2032
2020-07-15,Bergen,New Jersey,34003,20195,2029
2020-07-16,Bergen,New Jersey,34003,20218,2030
2020-07-17,Bergen,New Jersey,34003,20234,2033
2020-07-18,Bergen,New Jersey,34003,20247,2034
2020-07-19,Bergen,New Jersey,34003,20248,2033
2020-07-20,Bergen,New Jersey,34003,20302,2033
2020-07-21,Bergen,New Jersey,34003,20320,2032
2020-07-22,Bergen,New Jersey,34003,20362,2031
2020-07-23,Bergen,New Jersey,34003,20396,2034
2020-07-24,Bergen,New Jersey,34003,20425,2041
2020-07-25,Bergen,New Jersey,34003,20455,2044
2020-07-26,Bergen,New Jersey,34003,20489,2044
2020-07-27,Bergen,New Jersey,34003,20543,2045
2020-07-28,Bergen,New Jersey,34003,20604,2046
2020-07-29,Bergen,New Jersey,34003,20646,2038
2020-07-30,Bergen,New Jersey,34003,20667,2040
2020-07-31,Bergen,New Jersey,34003,20727,2040
2020-08-01,Bergen,New Jersey,34003,20749,2040
2020-08-02,Bergen,New Jersey,34003,20776,2040
2020-08-03,Bergen,New Jersey,34003,20807,2041
2020-08-04,Bergen,New Jersey,34003,20864,2041
2020-08-05,Bergen,New Jersey,34003,20890,2038
2020-08-06,Bergen,New Jersey,34003,20920,2037
2020-08-07,Bergen,New Jersey,34003,20945,2037
2020-08-08,Bergen,New Jersey,34003,21002,2038
2020-08-09,Bergen,New Jersey,34003,21045,2038
2020-08-10,Bergen,New Jersey,34003,21076,2038
2020-08-11,Bergen,New Jersey,34003,21115,2038
2020-08-12,Bergen,New Jersey,34003,21147,2036
2020-08-13,Bergen,New Jersey,34003,21188,2035
2020-08-14,Bergen,New Jersey,34003,21306,2036
2020-08-15,Bergen,New Jersey,34003,21368,2036
2020-08-16,Bergen,New Jersey,34003,21443,2036
2020-08-17,Bergen,New Jersey,34003,21525,2036
2020-08-18,Bergen,New Jersey,34003,21551,2036
2020-08-19,Bergen,New Jersey,34003,21551,2033
2020-08-20,Bergen,New Jersey,34003,21505,2034
2020-08-21,Bergen,New Jersey,34003,21526,2032
2020-08-22,Bergen,New Jersey,34003,21560,2031
2020-08-23,Bergen,New Jersey,34003,21570,2032
2020-08-24,Bergen,New Jersey,34003,21596,2032
2020-08-25,Bergen,New Jersey,34003,21639,2033
2020-08-26,Bergen,New Jersey,34003,21678,2030
2020-08-27,Bergen,New Jersey,34003,21696,2031
2020-08-28,Bergen,New Jersey,34003,21716,2032
2020-08-29,Bergen,New Jersey,34003,21762,2032
2020-08-30,Bergen,New Jersey,34003,21799,2032
2020-08-31,Bergen,New Jersey,34003,21842,2033
2020-09-01,Bergen,New Jersey,34003,21907,2035
2020-09-02,Bergen,New Jersey,34003,21933,2035
2020-09-03,Bergen,New Jersey,34003,21966,2036
2020-09-04,Bergen,New Jersey,34003,21994,2036
2020-09-05,Bergen,New Jersey,34003,21997,2037
2020-09-06,Bergen,New Jersey,34003,22030,2038
2020-09-07,Bergen,New Jersey,34003,22058,2038
2020-09-08,Bergen,New Jersey,34003,22086,2038
2020-09-09,Bergen,New Jersey,34003,22115,2039
2020-09-10,Bergen,New Jersey,34003,22137,2040
2020-09-11,Bergen,New Jersey,34003,22168,2041
2020-09-12,Bergen,New Jersey,34003,22178,2041
2020-09-13,Bergen,New Jersey,34003,22209,2042
2020-09-14,Bergen,New Jersey,34003,22238,2042
2020-09-15,Bergen,New Jersey,34003,22242,2042
2020-09-16,Bergen,New Jersey,34003,22273,2043
2020-09-17,Bergen,New Jersey,34003,22330,2043
2020-09-18,Bergen,New Jersey,34003,22362,2044
2020-09-19,Bergen,New Jersey,34003,22388,2044
2020-09-20,Bergen,New Jersey,34003,22411,2044
2020-09-21,Bergen,New Jersey,34003,22440,2044
2020-09-22,Bergen,New Jersey,34003,22494,2044
2020-09-23,Bergen,New Jersey,34003,22519,2044
2020-09-24,Bergen,New Jersey,34003,22547,2044
2020-09-25,Bergen,New Jersey,34003,22574,2044
2020-09-26,Bergen,New Jersey,34003,22606,2045
2020-09-27,Bergen,New Jersey,34003,22649,2045
2020-09-28,Bergen,New Jersey,34003,22682,2045
