Date,Total Cases,New Cases
3/19/2020,2,2
3/20/2020,2,0
3/21/2020,2,0
3/22/2020,3,1
3/23/2020,3,0
3/24/2020,6,3
3/25/2020,9,3
3/26/2020,15,6
3/27/2020,16,1
3/28/2020,19,3
3/29/2020,21,2
3/30/2020,26,5
3/31/2020,34,8
4/1/2020,41,7
4/2/2020,43,2
4/3/2020,49,6
4/4/2020,65,16
4/5/2020,76,11
4/6/2020,79,3
4/7/2020,84,5
4/8/2020,87,3
4/9/2020,97,10
4/10/2020,104,7
4/11/2020,106,2
4/12/2020,106,0
4/13/2020,112,6
4/14/2020,116,4
4/15/2020,120,4
4/16/2020,125,5
4/17/2020,130,5
4/18/2020,133,3
4/19/2020,133,0
4/20/2020,138,5
4/21/2020,141,3
4/22/2020,146,5
4/23/2020,151,5
4/24/2020,158,7
4/25/2020,160,2
4/26/2020,160,0
4/27/2020,165,5
4/28/2020,165,0
4/29/2020,167,2
4/30/2020,170,3
5/1/2020,173,3
5/2/2020,176,3
5/3/2020,176,0
5/4/2020,176,0
5/5/2020,176,0
5/6/2020,176,0
5/7/2020,176,0
5/8/2020,177,1
5/9/2020,177,0
5/10/2020,177,0
5/11/2020,181,4
5/12/2020,185,4
5/13/2020,186,1
5/14/2020,187,1
5/15/2020,188,1
5/16/2020,188,0
5/17/2020,188,0
5/18/2020,188,0
5/19/2020,189,1
5/20/2020,189,0
5/21/2020,189,0
5/22/2020,189,0
5/23/2020,189,0
5/24/2020,189,0
5/25/2020,189,0
5/26/2020,190,1
5/27/2020,190,0
5/28/2020,190,0
5/29/2020,192,2
5/30/2020,192,0
5/31/2020,192,0
6/1/2020,195,3
6/2/2020,196,1
6/3/2020,196,0
6/4/2020,196,0
6/5/2020,196,0
6/6/2020,196,0
6/7/2020,196,0
6/8/2020,196,0
6/9/2020,197,1
6/10/2020,198,1
6/11/2020,198,0
6/12/2020,199,1
6/13/2020,199,0
6/14/2020,199,0
6/15/2020,199,0
6/16/2020,200,1
6/17/2020,200,0
6/18/2020,200,0
6/19/2020,200,0
6/20/2020,200,0
6/21/2020,200,0
6/22/2020,202,2
6/23/2020,202,0
6/24/2020,203,1
6/25/2020,204,1
6/26/2020,205,1
6/27/2020,205,0
6/28/2020,205,0
6/29/2020,209,4
6/30/2020,209,0
7/1/2020,210,1
7/2/2020,210,0
7/3/2020,210,0
7/4/2020,210,0
7/5/2020,210,0
7/6/2020,216,6
7/7/2020,217,1
7/8/2020,217,0
7/9/2020,218,1
7/10/2020,220,2
7/11/2020,220,0
7/12/2020,220,0
7/13/2020,222,2
7/14/2020,223,1
7/15/2020,223,0
7/16/2020,223,0
7/17/2020,223,0
7/18/2020,223,0
7/19/2020,223,0
7/20/2020,223,0
7/21/2020,226,3
7/22/2020,227,1
7/23/2020,228,1
7/24/2020,228,0
7/25/2020,228,0
7/26/2020,228,0
7/27/2020,229,1
7/28/2020,229,0
7/29/2020,229,0
7/30/2020,230,1
7/31/2020,230,0
8/1/2020,230,0
8/2/2020,230,0
8/3/2020,231,1
8/4/2020,231,0
8/5/2020,232,1
8/6/2020,232,0
8/7/2020,232,0
8/8/2020,232,0
8/9/2020,232,0
8/10/2020,232,0
8/11/2020,232,0
8/12/2020,233,1
8/13/2020,233,0
8/14/2020,234,1
8/15/2020,234,0
8/16/2020,234,0
8/17/2020,235,1
8/18/2020,235,0
8/19/2020,235,0
8/20/2020,236,1
8/21/2020,237,1
8/22/2020,237,0
8/23/2020,237,0
8/24/2020,237,0
8/25/2020,239,2
8/26/2020,240,1
8/27/2020,241,1
8/28/2020,241,0
8/29/2020,241,0
8/30/2020,241,0
8/31/2020,242,1
9/1/2020,242,0
9/2/2020,246,4
9/3/2020,246,0
9/4/2020,246,0
9/5/2020,246,0
9/6/2020,246,0
9/7/2020,246,0
9/8/2020,249,3
9/9/2020,249,0
9/10/2020,249,0
9/11/2020,249,0
9/12/2020,249,0
9/13/2020,249,0
9/14/2020,250,1
9/15/2020,250,0
9/16/2020,252,2
9/17/2020,253,1
9/18/2020,253,0
9/19/2020,253,0
9/20/2020,253,0
9/21/2020,256,3
9/22/2020,256,0
9/23/2020,257,1
9/24/2020,257,0
9/25/2020,257,0
9/26/2020,257,0
9/27/2020,257,0
9/28/2020,257,0
9/29/2020,257,0
9/30/2020,257,0
10/1/2020,257,0
10/2/2020,257,0
10/3/2020,257,0
10/4/2020,257,0
10/5/2020,259,2
10/6/2020,260,1
10/7/2020,265,5
10/8/2020,274,9
10/9/2020,276,2
10/10/2020,276,0
10/11/2020,276,0
10/12/2020,278,2
10/13/2020,284,6
10/14/2020,285,1
10/15/2020,290,5
10/16/2020,295,5
10/17/2020,298,3
10/18/2020,301,3
10/19/2020,303,2
10/20/2020,303,0
10/21/2020,307,4
10/22/2020,307,0
10/23/2020,307,0
10/24/2020,307,0
10/25/2020,307,0
10/26/2020,313,6
10/27/2020,317,4
10/28/2020,322,5
10/29/2020,327,5
10/30/2020,332,5
10/31/2020,332,0
11/1/2020,332,0
11/2/2020,344,12
11/3/2020,345,1
11/4/2020,352,7
11/5/2020,355,3
11/6/2020,360,5
11/7/2020,360,0
11/8/2020,360,0
11/9/2020,379,19
11/10/2020,383,4
11/11/2020,383,0
11/12/2020,400,17
11/13/2020,407,7
11/14/2020,407,0
11/15/2020,407,0
11/16/2020,423,16
11/17/2020,435,12
11/18/2020,447,12
11/19/2020,455,8
11/20/2020,469,14
11/21/2020,474,5
11/22/2020,474,0
11/23/2020,488,14
11/24/2020,496,8
11/25/2020,502,6
11/26/2020,502,0
11/27/2020,502,0
11/28/2020,522,20
11/29/2020,522,0
11/30/2020,536,14
12/1/2020,543,7
12/2/2020,554,11
12/3/2020,570,16
12/4/2020,594,24
12/5/2020,605,11
12/6/2020,605,0
12/7/2020,616,11
12/8/2020,628,12
12/9/2020,633,5
12/10/2020,651,18
12/11/2020,660,9
12/12/2020,660,0
12/13/2020,660,0
12/14/2020,674,14
12/15/2020,683,9
12/16/2020,690,7
12/17/2020,690,0
12/18/2020,707,17
12/19/2020,707,0
12/20/2020,707,0
12/21/2020,734,27
12/22/2020,741,7
12/23/2020,768,27
12/24/2020,773,5
12/25/2020,773,0
12/26/2020,773,0
12/27/2020,773,0
12/28/2020,803,30
12/29/2020,808,5
12/30/2020,827,19
12/31/2020,838,11
1/1/2021,838,0
1/2/2021,838,0
1/3/2021,838,0
1/4/2021,871,33
1/5/2021,889,18
1/6/2021,903,14
1/7/2021,918,15
1/8/2021,930,12
1/9/2021,940,10
1/10/2021,940,0
1/11/2021,962,22
1/12/2021,973,11
1/13/2021,988,15
1/14/2021,998,10
1/15/2021,1008,10
1/16/2021,1008,0
1/17/2021,1008,0
1/18/2021,1008,0
1/19/2021,1029,21
1/20/2021,1039,10
1/21/2021,1043,4
1/22/2021,1046,3
1/23/2021,1046,0
1/24/2021,1046,0
1/25/2021,1077,31
1/26/2021,1081,4
1/27/2021,1087,6
1/28/2021,1093,6
1/29/2021,1109,16
1/30/2021,1114,5
1/31/2021,1114,0
2/1/2021,1114,0
2/2/2021,1114,0
2/3/2021,1140,26
2/4/2021,1148,8
2/5/2021,1155,7
2/6/2021,1155,0
2/7/2021,1155,0
2/8/2021,1171,16
2/9/2021,1178,7
2/10/2021,1183,5
2/11/2021,1189,6
2/12/2021,1194,5
2/13/2021,1201,7
2/14/2021,1201,0
2/15/2021,1201,0
2/16/2021,1215,14
2/17/2021,1220,5
2/18/2021,1223,3
2/19/2021,1228,5
2/20/2021,1228,0
2/21/2021,1235,7
2/22/2021,1239,4
2/23/2021,1245,6
2/24/2021,1249,4
2/25/2021,1262,13
2/26/2021,1271,9
2/27/2021,1271,0
2/28/2021,1271,0
3/1/2021,1288,16
3/2/2021,1297,10
3/3/2021,1303,6
3/4/2021,1306,3
3/5/2021,1320,14
3/6/2021,1320,0
3/7/2021,1320,0
3/8/2021,1334,14
3/9/2021,1338,4
3/10/2021,1346,8
3/11/2021,1358,14
3/12/2021,1365,5
3/13/2021,1365,0
3/14/2021,1365,0
3/15/2021,1388,23
3/16/2021,1395,7
3/17/2021,1403,8
3/18/2021,1406,3
3/19/2021,1411,5
3/20/2021,1411,0
3/21/2021,1411,0
3/22/2021,1435,24
3/23/2021,1441,6
3/24/2021,1448,7
3/25/2021,1456,8
3/26/2021,1463,7
3/27/2021,1463,0
3/28/2021,1472,9
3/29/2021,1483,11
3/30/2021,1491,8
3/31/2021,1494,3
4/1/2021,1512,18
4/2/2021,1521,9
4/3/2021,1521,0
4/4/2021,1521,0
4/5/2021,1538,17
4/6/2021,1546,8
4/8/2021,1554,8
4/8/2021,1563,9
4/9/2021,1568,5
4/10/2021,1569,1
4/11/2021,1569,0
4/12/2021,1579,10
4/13/2021,1584,5
4/14/2021,1589,5
4/15/2021,1601,12
4/16/2021,1606,5
4/17/2021,1611,5
4/18/2021,1611,0
4/19/2021,1614,3
4/20/2021,1615,1
4/21/2021,1621,6
4/22/2021,1628,7
